id,cancion,artista,subestilo,pais,origen,genero,yt_channel_subscribers_log,channel_age_years,is_vevo,is_licensed_content,lastfm_artist_listeners,lastfm_artist_playcount,lastfm_plays_per_listener,lastfm_top_tag_score,lastfm_top10_listeners_mean,lastfm_similar_match_mean,territorio_top_1,territorio_top_2,n_territorios_top,career_stage,label_type,has_featuring,n_collaborators,release_month,duracion_total_s,tempo_bpm,energia_rms_mean,energia_rms_std,brillo_centroide_mean,brillo_centroide_std,ancho_banda_hz,caida_espectral_rolloff,tasa_cruces_cero,bailabilidad_essentia,complejidad_dinamica_essentia,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,nivel,nivel_predicho,prob_bajo,prob_medio,prob_alto
1,Eres Mi Bien,Reik,Balada pop,MX,real,Balada,6.338,18.5,1,1,266722,2589309,9.71,69,69087,0.7752,MX,AR,4,Consagrado,Major,0,0,4,311.15,71.8,0.1480000019073486,0.1070000007748604,1599.18,835.81,2042.0,3324.44,0.0625,0.9247,-16.8249,-172.5193939208984,122.3582992553711,14.0733003616333,15.99709987640381,11.1245002746582,Medio,Medio,0.015122676091390582,0.5034385263367682,0.48143879757184116
2,Cancion_Sint_0140,Artista_Bld_0041,Balada pop,AR,sintetico,Balada,5.21,4.6,1,1,42686,247110,5.79,24,14135,0.5077,MX,PR,2,Emergente,Major,0,0,3,267.41,78.9,0.1403,0.0728,2205.5,957.21,2333.84,4559.76,0.0942,0.8891,-17.6598,-147.3469,90.211,0.0711,14.5445,7.3113,Bajo,Bajo,0.9055881198786526,0.0776173245982219,0.016794555523125698
3,"Ay, Mi Amor",Natalia Lafourcade,Balada folk,MX,real,Balada,6.756,16.3,1,1,1431996,44873209,31.34,29,935199,0.6658,ES,MX,4,Consagrado,Major,0,0,9,246.39,107.7,0.1529999971389771,0.0712999999523162,1494.93,684.84,1795.43,2877.88,0.069,1.0695,-16.2903,-138.8789978027344,131.2716979980469,-19.26600074768066,14.9975004196167,8.023200035095215,Medio,Medio,0.010248588820462829,0.7199283972129286,0.2698230139666086
4,Cancion_Sint_0026,Sebastián Yatra,Balada pop,CO,sintetico,Balada,6.778,17.3,1,1,859634,14955744,17.4,79,229897,0.8208,US,VE,3,Consagrado,Major,0,0,11,286.08,77.5,0.1802,0.1125,2429.61,934.91,2476.18,5153.63,0.1116,1.1701,-16.0572,-110.0,90.9241,2.5287,6.4136,2.0058,Medio,Medio,0.051585113686257074,0.7186623515922136,0.22975253472152934
5,El Tiempo,Carlos Rivera,Balada pop,MX,real,Balada,6.716,13.1,1,1,1391629,25612291,18.4,54,744488,0.5988,AR,MX,5,Consagrado,Major,0,0,5,217.01,71.8,0.1888999938964844,0.09009999781847,2106.9,891.76,2329.58,4547.74,0.0855,0.9403,-14.2754,-94.3018035888672,98.16120147705078,6.758800029754639,23.82600021362305,3.256099939346313,Alto,Alto,0.007155415500080842,0.11564354134233121,0.8772010431575878
6,Cancion_Sint_0127,Artista_Bld_0047,Balada pop,MX,sintetico,Balada,5.338,1.3,0,0,72167,1374047,19.04,65,36152,0.5014,MX,SIN_SEGUNDO,1,Emergente,Major,0,0,3,164.75,100.9,0.1965,0.079,2623.25,969.21,2816.4,5931.89,0.1035,0.9647,-14.8182,-112.2103,69.2077,19.9385,32.0311,13.4953,Bajo,Bajo,0.9709933067212443,0.025820109316438286,0.0031865839623175644
7,Cancion_Sint_0112,Artista_Bld_0013,Balada pop,MX,sintetico,Balada,6.262,5.8,1,1,76064,359113,4.72,44,17995,0.4474,CO,SIN_SEGUNDO,1,Emergente,Indie,0,0,8,261.95,101.7,0.1225,0.0656,2462.98,786.26,2650.95,5508.53,0.0968,1.2508,-20.9723,-145.29,81.8388,5.8443,19.6674,-1.7103,Bajo,Bajo,0.9437148243288545,0.042034269479145514,0.014250906192000005
8,Cancion_Sint_0011,Artista_Bld_0003,Balada pop,ES,sintetico,Balada,6.949,11.9,1,1,1565341,17756582,11.34,91,742561,0.8308,AR,US,5,Consagrado,Major,0,0,12,247.65,78.1,0.1347,0.0698,2440.57,746.87,2495.34,5202.01,0.107,0.9571,-17.2309,-110.0,82.6256,-15.0,28.016,6.5444,Alto,Alto,0.022576068984630396,0.13411559546246202,0.8433083355529077
9,Cancion_Sint_0042,Artista_Bld_0004,Balada folk,US,sintetico,Balada,7.107,15.2,1,1,3601979,55464462,15.4,100,1848009,0.5866,PE,ES,5,Consagrado,Indie,0,0,10,146.64,60.9,0.2566,0.1041,2501.8,965.05,2601.53,5400.1,0.1002,1.0992,-13.4633,-110.0,79.1752,14.4587,14.9406,7.8077,Medio,Medio,0.025131022231594878,0.6628895704185028,0.31197940734990226
10,Cancion_Sint_0028,Pablo Alborán,Balada pop,ES,sintetico,Balada,6.616,16.7,0,1,565278,9385990,16.6,58,241959,0.7403,CO,MX,2,Consagrado,Major,0,0,2,279.09,101.2,0.1218,0.0496,2490.3,743.25,2536.84,5233.58,0.1184,1.2067,-20.056,-112.0288,74.0674,-14.569,35.87,-0.8816,Medio,Medio,0.394596365840638,0.5278530297587869,0.07755060440057508
11,Tú Me Quemas,Chayanne,Balada pop,PR,real,Balada,5.556,17.0,1,1,52128,653444,12.54,75,26618,0.4594,ES,AR,2,Consagrado,Major,0,0,5,225.26,117.5,0.2294999957084656,0.0878000035881996,2137.36,614.84,2496.65,4777.29,0.0822,1.0589,-13.6004,-63.26919937133789,96.81900024414062,9.760600090026855,26.75160026550293,2.767999887466431,Medio,Medio,0.35483378319476017,0.5741859292830629,0.07098028752217699
12,Que Canten las Niñas,Jesse & Joy,Balada pop,MX,real,Balada,7.17,17.1,0,1,1812905,38659261,21.32,54,683047,0.8292,MX,ES,5,Consagrado,Major,0,0,2,246.97,71.8,0.1190000027418137,0.0406999997794628,1760.11,635.79,2246.03,3871.93,0.0604,1.0739,-19.2939,-161.4140930175781,109.1904983520508,6.288300037384033,28.19919967651367,4.451000213623047,Medio,Medio,0.012190320649567822,0.5554115026034682,0.43239817674696407
